World Rank,National Rank,Score
872,15,71.0
873,113,71.0
874,56,71.0
875,27,71.0
876,8,71.0
877,45,71.0
878,200,71.0
879,114,71.0
880,8,71.0
881,14,71.0
882,115,71.0
883,116,71.0
884,4,71.0
885,6,71.0
886,201,70.9
887,5,70.9
888,31,70.9
889,28,70.9
890,29,70.9
891,2,70.9
892,15,70.9
893,202,70.9
894,32,70.9
895,57,70.9
896,16,70.9
897,33,70.9
898,203,70.9
899,117,70.9
900,30,70.9
901,5,70.8
902,58,70.8
903,32,70.8
904,204,70.8
905,118,70.8
906,205,70.8
907,119,70.8
908,59,70.8
909,60,70.8
910,26,70.8
911,206,70.8
912,17,70.8
913,9,70.8
914,27,70.8
915,34,70.8
916,207,70.8
917,40,70.7
918,41,70.7
919,31,70.7
920,120,70.7
921,61,70.7
922,62,70.7
923,35,70.7
924,7,70.7
925,121,70.7
926,10,70.7
927,16,70.7
928,208,70.7
929,18,70.7
930,19,70.7
931,46,70.7
932,36,70.6
933,209,70.6
934,1,70.6
935,9,70.6
936,210,70.6
937,32,70.6
938,16,70.6
939,1,70.6
940,10,70.6
941,3,70.6
942,211,70.6
943,9,70.6
944,3,70.6
945,1,70.6
946,1,70.6
947,212,70.6
948,213,70.5
949,8,70.5
950,37,70.5
951,28,70.5
952,1,70.5
953,122,70.5
954,42,70.5
955,5,70.5
956,123,70.5
957,63,70.5
958,47,70.5
959,214,70.5
960,124,70.5
961,125,70.5
962,33,70.5
963,5,70.5
964,38,70.4
965,215,70.4
966,126,70.4
967,39,70.4
968,20,70.4
969,43,70.4
970,26,70.4
971,48,70.4
972,216,70.4
973,10,70.4
974,127,70.4
975,128,70.4
976,10,70.4
977,40,70.4
978,217,70.4
979,21,70.4
980,218,70.4
981,1,70.3
982,129,70.3
983,17,70.3
984,3,70.3
985,11,70.3
986,34,70.3
987,22,70.3
988,11,70.3
989,130,70.3
990,131,70.3
991,41,70.3
992,132,70.3
993,35,70.3
994,12,70.3
995,133,70.3
996,33,70.3
997,11,70.2
998,134,70.2
999,4,70.2
1000,219,70.2
1001,36,70.2
1002,23,70.2
1003,135,70.2
1004,220,70.2
1005,221,70.2
1006,42,70.2
1007,43,70.2
1008,44,70.2
1009,53,70.2
1010,3,70.2
1011,44,70.2
1012,17,70.2
1013,136,70.2
1014,12,70.1
1015,34,70.1
1016,13,70.1
1017,137,70.1
1018,138,70.1
1019,24,70.1
1020,222,70.1
1021,139,70.1
1022,223,70.1
1023,14,70.1
1024,224,70.1
1025,6,70.1
1026,25,70.1
1027,225,70.1
1028,2,70.1
1029,45,70.1
1030,45,70.1
1031,54,70.0
1032,18,70.0
1033,226,70.0
1034,3,70.0
1035,140,70.0
1036,27,70.0
1037,28,70.0
1038,46,70.0
1039,141,70.0
1040,12,70.0
1041,142,70.0
1042,143,70.0
1043,227,70.0
1044,7,70.0
1045,13,70.0
1046,15,70.0
1047,55,70.0
1048,46,69.9
1049,47,69.9
1050,49,69.9
1051,47,69.9
1052,5,69.9
1053,56,69.9
1054,29,69.9
1055,228,69.9
1056,229,69.9
1057,6,69.9
1058,230,69.9
1059,2,69.9
1060,37,69.9
1061,26,69.9
1062,231,69.9
1063,3,69.9
1064,48,69.9
1065,232,69.9
1066,29,69.8
1067,18,69.8
1068,233,69.8
